Engine_ID,Engine_Name,Platform,Phase_Active,Monthly_Amount_GBP,Target_Allocation_Pct,Actual_Allocation_Pct,Daily_Action,Weekly_Action,Monthly_Action,Quarterly_Action,Annual_Action,Risk_Profile,Expected_Return_Pct,Tax_Treatment,Rebalance_Trigger,Status,Notes
ENG001,Crypto_DCA,Pionex,Phase_3,35,35,0,Check bot running,Review performance,Deposit £35 1st,Analyze 6mo trend,Tax report CGT,Medium,15,CGT,>20% deviation,Pending,Core engine
ENG002,Stocks_ISA,Trading_212,Phase_3,20,25,0,None,Check price,Buy VWRP 15th,Review allocation,Tax report none,Low,8,Tax_Free,>10% deviation,Pending,Core holding
ENG003,Infrastructure_ETF,Trading_212,Phase_3,5,0,0,None,None,Buy IGF/GII 15th,Review performance,Tax report none,Low,7,Tax_Free,Part of ISA,Pending,Hard asset exposure
ENG004,Physical_Gold,Goldwise,Phase_3,10,10,0,None,Check price,Buy £10 gold 15th,Rebalance metals,Tax report CGT,Low,5,CGT,>5% deviation,Pending,Tangible wealth
ENG005,Lifetime_ISA,Moneybox,Phase_3,20,20,0,None,None,Deposit £20 1st,Check bonus received,Tax report none,Low,25,Tax_Free_Govt_Bonus,Max 4000/yr,Pending,Govt bonus 25%
ENG006,Crypto_Staking,Bitget,Phase_3,10,10,0,None,Check APY,Stake rewards,Compound check,Tax report Income,Low,4,Income_Tax,Auto compound,Pending,Passive yield
ENG007,Spot_Futures_Arb,Pionex,Phase_4,50,0,0,Check funding rate,Monitor yield,Review profit,Reinvest decision,Tax report Income,Low,12,Income_Tax,>50 profit,Future,Arbitrage income
ENG008,BTC_Loop_Trading,Bitsgap,Phase_4,0,0,0,Monitor trades,Track profit,Log trades,Analyze win rate,Tax report Income,High,20,Income_Tax,>5% profit,Future,BTC accumulation
ENG009,Forex_Demo,FOREX_com,Phase_3,0,0,0,Practice 15min,Review trades,Track win rate,Go live decision,None,Learning,0,None,>55% win rate,Active,Learning only
ENG010,Stock_Equities,Trading_212,Phase_4,15,0,0,None,Research,Buy dividend stock,Review portfolio,Tax report none,Medium,10,Tax_Free,Max 20% ISA,Future,Dividend income
ENG011,Tax_Sinking_Fund,Monzo,Phase_3,20,0,0,None,None,Transfer 1st,Check balance,Pay tax bill,None,0,N/A,Target 20% gains,Pending,Tax preparation
ENG012,Emergency_Fund,Coinbase,Phase_1,200,0,0,None,None,Standing order,Review rate,Optimize rate,None,3.75,Tax_Free_Interest,Min 1000,Pending,Foundation
